latitude,longitude,altitude,geometry,coordinates,@id,area,public_transport,railway,ref,name,train,amenity,barrier,surface,departures_board,subway,lit,shelter,layer,level,tactile_paving,to,network,operator
28.6302584,77.2895586,,Polygon,"77.2895586,28.6302584,77.2868818,28.6281843,77.2869224,28.6281438,77.2895993,28.630218,77.2895586,28.6302584",way/662311118,yes,platform,platform,,,yes,,,,,,,,,,,,,
28.6282478,77.2868308,,Polygon,"77.2868308,28.6282478,77.2894996,28.630329,77.2894633,28.6303649,77.2867945,28.6282838,77.2868308,28.6282478",way/662311119,yes,platform,platform,,,yes,,,,,,,,,,,,,
28.6512845,77.3169896,,Polygon,"77.3169896,28.6512845,77.316952,28.6513221,77.3133364,28.6485093,77.3131165,28.6482998,77.3129448,28.6481068,77.3129797,28.6480833,77.3131943,28.6482692,77.3165712,28.6508985,77.3168367,28.6511362,77.3169896,28.6512845",way/662315647,yes,platform,platform,,,,,,,,,,,,,,,,
28.6514493,77.317408,,Polygon,"77.317408,28.6514493,77.3167965,28.6508961,77.3132801,28.6481539,77.3130682,28.6479656,77.3129421,28.6478385,77.3129904,28.6477844,77.3168877,28.6508137,77.3171278,28.6510291,77.3174603,28.6513998,77.317408,28.6514493",way/662315648,yes,platform,platform,,,,,,,,,,,,,,,,
28.5926464,77.1711922,,Polygon,"77.1711922,28.5926464,77.1711505,28.5926243,77.172116,28.5912206,77.1721578,28.5912428,77.1711922,28.5926464",way/662484592,yes,,platform,,,,,,,,,,,,,,,,
28.5925647,77.1710291,,Polygon,"77.1710291,28.5925647,77.1709874,28.5925426,77.171953,28.5911389,77.1719947,28.591161,77.1710291,28.5925647",way/662484593,yes,,platform,,,,,,,,,,,,,,,,
28.5956407,77.1681035,,Polygon,"77.1681035,28.5956407,77.1681371,28.5956755,77.1670132,28.5965115,77.1669797,28.5964767,77.1681035,28.5956407",way/662484596,yes,,platform,,,,,,,,,,,,,,,,
28.5957558,77.1682316,,Polygon,"77.1682316,28.5957558,77.1682652,28.5957906,77.1671413,28.5966266,77.1671078,28.5965918,77.1682316,28.5957558",way/662484597,yes,,platform,,,,,,,,,,,,,,,,
28.6230822,77.2670303,,Polygon,"77.2670303,28.6230822,77.2687297,28.6236705,77.2687236,28.6236841,77.2670243,28.6230955,77.2670303,28.6230822",way/696173226,yes,,platform,1,,,,,,,yes,,,,,,,,
28.6230227,77.2670571,,Polygon,"77.2670571,28.6230227,77.2670638,28.6230077,77.2687631,28.6235963,77.2687564,28.6236113,77.2670571,28.6230227",way/696173227,yes,,platform,3,,,,,,,yes,,,,,,,,
